Direction,Date,Boarding Stop,Alighting Stop,Passengers
North,01/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Hythe St CLOSED,1
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Eighth Avenue,1
North,01/03/2026,Gold Coast Hwy at Currumbin Hill,Nineteenth Avenue,1
North,01/03/2026,Gold Coast Hwy at Miami North station,Unknown,14
North,01/03/2026,Palm Beach,Twenty Seventh Avenue,7
North,01/03/2026,Golden Four Dr at Bilinga Beach SLSC,Broadbeach South station,4
North,01/03/2026,Twin Towns Services Club,Johnston Street,2
North,01/03/2026,Gold Coast Hwy at Fifteenth Avenue,Broadbeach South station,2
North,01/03/2026,Wharf St at Tweed Heads,"Broadbeach South station, stop C",2
North,01/03/2026,Golden Four Dr at Short Street,Unknown,1
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Nineteenth Avenue,2
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Currumbin Hill,1
North,01/03/2026,Golden Four Dr at Bilinga Beach SLSC,Palm Beach,1
North,01/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,Gold Coast Hwy at Anzac Pde CLOSED,4
North,01/03/2026,Burleigh Heads station,Gold Coast Hwy at Miami station,7
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Anzac Pde CLOSED,1
North,01/03/2026,Coolangatta Central,Musgrave St at Kirra shops,12
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Nineteenth Avenue,4
North,01/03/2026,Burleigh Heads station,Gold Coast Hwy at Anzac Pde CLOSED,4
North,01/03/2026,Teemangum St at Kropp Park,Gold Coast Hwy at Miami North station,3
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Twenty Fifth Avenue,3
North,01/03/2026,Coolangatta Central,Golden Four Dr at Tugun Beach shops,11
North,01/03/2026,Twenty Seventh Avenue,Unknown,3
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Miami station,1
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Burleigh Heads station,1
North,01/03/2026,Burleigh Heads station,Unknown,111
North,01/03/2026,Wharf St at Tweed Heads,Musgrave St at Kirra shops,4
North,01/03/2026,Golden Four Dr at Bilinga Beach,Broadbeach South station,2
North,01/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Fourth Avenue,2
North,01/03/2026,Broadbeach South station,Broadbeach Sout,1
North,01/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Musgrave St at Coyne Street,Burleigh Heads Primary School,1
North,01/03/2026,Musgrave St at Coyne Street,Palm Beach,1
North,01/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Unknown,2
North,01/03/2026,Golden Four Dr at North Kirra Beach,Unknown,1
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Thrower Drive,2
North,01/03/2026,Burleigh Heads station,Burleigh Heads station,20
North,01/03/2026,Marine Pde at Kirra Beach,Broadbeach South station,11
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Fifteenth Avenue,4
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Broadbeach South station,10
North,01/03/2026,Gold Coast Hwy at Fifteenth Avenue,Burleigh Heads station,2
North,01/03/2026,Griffith St at Coolangatta East,Marine Pde at Kirra Beach Hotel,2
North,01/03/2026,Johnston Street,Johnston Street,2
North,01/03/2026,Gold Coast Hwy at Currumbin Hill,Gold Coast Hwy at Miami Hotel,1
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Miami station,3
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Fourth Avenue,4
North,01/03/2026,Palm Beach,Gold Coast Hwy at Twenty First Avenue,3
North,01/03/2026,Griffith St at Coolangatta East,Golden Four Dr at North Kirra Beach,3
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Thrower Drive,1
North,01/03/2026,Griffith St at Coolangatta East,Gold Coast Hwy at Miami Hotel,1
North,01/03/2026,Johnston Street,Palm Beach,1
North,01/03/2026,Broadbeach South station,Varsity Lakes station,1
North,01/03/2026,Golden Four Dr at George Street,Burleigh Heads station,1
North,01/03/2026,Broadbeach North station,"GCUH, platform 3",1
North,01/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,Broadbeach South station,4
North,01/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Gold Coast Hwy at Miami Hotel,3
North,01/03/2026,Golden Four Dr at Short Street,Broadbeach South station,4
North,01/03/2026,Wharf St at Tweed Heads,Marine Pde at Kirra Beach,2
North,01/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Gold Coast Hwy at Miami North station,2
North,01/03/2026,Surfers Paradise,"Southport bus station, stop B",1
North,01/03/2026,Broadbeach South station,"Pacific Fair, stop A",1
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Tallebudgera Tourist Park,3
North,01/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Fifteenth Avenue,3
North,01/03/2026,Griffith St at Coolangatta East,Nineteenth Avenue,1
North,01/03/2026,Golden Four Dr at Bilinga Beach SLSC,Gold Coast Hwy at Fourth Avenue,1
North,01/03/2026,Palm Beach,Tweed St at George St,1
North,01/03/2026,Coolangatta Central,"Broadbeach South station, stop D",1
North,01/03/2026,Twin Towns Services Club,Gold Coast Hwy at Fifteenth Avenue,1
North,01/03/2026,Currumbin Wildlife Sanctuary,Palm Beach,3
North,01/03/2026,Coolangatta Central,Johnston Street,3
North,01/03/2026,Gold Coast Hwy at Currumbin Hill,Broadbeach South station,4
North,01/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,Gold Coast Hwy at Miami North station,2
