Direction,Date,Boarding Stop,Alighting Stop,Passengers
South,20/03/2026,Gold Coast Hwy at Eighth Avenue,Wharf St at Tweed Mall,1
North,21/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Mermaid Beach station,3
North,21/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Palm Beach Police Station,6
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Nineteenth Avenue,2
North,21/03/2026,Broadbeach South station,Robina Town Centre,2
North,21/03/2026,Golden Four Dr at Bilinga Beach,Burleigh Heads station,3
North,21/03/2026,Gold Coast Hwy at Tenth Avenue,Twenty Seventh Avenue,3
North,21/03/2026,Griffith St at Coolangatta East,Griffith St at Coolangatta East,8
North,21/03/2026,Coolangatta Central,Golden Four Dr at North Kirra Beach,12
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Miami Hotel,2
North,21/03/2026,Golden Four Dr at George Street,Gold Coast Hwy at Thrower Drive,3
North,21/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Nineteenth Avenue,Nineteenth Avenue,2
North,21/03/2026,Wharf St at Tweed Heads,Golden Four Dr at Short Street,1
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Fourth Avenue,13
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Burleigh Heads National Park,1
North,21/03/2026,Twin Towns Services Club,Gold Coast Hwy at Fifteenth Avenue,4
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Fourth Avenue,1
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Miami station,1
North,21/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Dr at Shell Street,3
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Fourth Avenue,3
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Fourth Avenue,2
North,21/03/2026,Burleigh Heads station,Unknown,103
North,21/03/2026,Gold Coast Hwy at Currumbin Hill,Gold Coast Hwy at Currumbin Hill,1
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Mermaid Beach station,6
North,21/03/2026,Coolangatta Central,Golden Four Dr at Bilinga Beach SLSC,3
North,21/03/2026,Coolangatta Central,Burleigh Heads station,7
North,21/03/2026,Musgrave St at Kirra shops,Palm Beach,4
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Tenth Avenue,2
North,21/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Palm Beach Police Station,1
North,21/03/2026,Musgrave St at Kirra shops,Unknown,32
North,21/03/2026,Twin Towns Services Club,Nineteenth Avenue,2
North,21/03/2026,Gold Coast Hwy at Twenty First Avenue,Gold Coast Hwy at Twenty First Avenue,1
North,21/03/2026,Gold Coast Hwy at Fifteenth Avenue,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Currumbin Hill,2
North,21/03/2026,Gold Coast Hwy at Fifteenth Avenue,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,Gold Coast Hwy at Anzac Pde CLOSED,1
North,21/03/2026,Gold Coast Hwy at Mermaid Beach South station,Unknown,9
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Tweed St at George St,2
North,21/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Miami North station,7
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Fourth Avenue,1
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Burleigh Heads station,1
North,21/03/2026,Gold Coast Hwy at Hythe St CLOSED,Gold Coast Hwy at Mermaid Beach station,1
North,21/03/2026,Wharf St at Tweed Heads,Marine Pde at Kirra Beach,3
North,21/03/2026,Palm Beach,Gold Coast Hwy at Twenty Fifth Avenue,1
North,21/03/2026,Palm Beach,Gold Coast Hwy at Miami station,4
North,21/03/2026,Marine Pde at Kirra Beach,Golden Four Dr at Short Street,1
North,21/03/2026,Coolangatta Central,Sarawak Ave at Salk Oval,1
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Eighth Avenue,2
North,21/03/2026,Golden Four Dr at Shell Street,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Golden Four Dr at Bilinga Beach,Burleigh Heads Primary School,1
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Twenty Seventh Avenue,3
North,21/03/2026,Coolangatta Central,"Broadbeach South station, stop C",1
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Broadbeach South station,2
North,21/03/2026,Wharf St at Tweed Heads,Coolangatta Central,6
North,21/03/2026,Musgrave St at Coyne Street,Burleigh Heads National Park,1
North,21/03/2026,Gold Coast Hwy at Twenty First Avenue,Burleigh Heads National Park,4
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Twenty First Avenue,2
North,21/03/2026,Burleigh Heads National Park,Gold Coast Hwy at Miami Hotel,1
North,21/03/2026,Marine Pde at Kirra Beach,Gold Coast Hwy at Miami Hotel,1
North,21/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Unknown,17
North,21/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,Tweed St at George St,1
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Tallebudgera Tourist Park,2
North,21/03/2026,Gold Coast Hwy at Thrower Drive,Burleigh Heads station,1
North,21/03/2026,Wharf St at Tweed Heads,Griffith St at Coolangatta East,4
North,21/03/2026,Golden Four Dr at Bilinga Beach SLSC,Gold Coast Hwy at Tenth Avenue,1
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Twenty Fifth Avenue,4
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Nineteenth Avenue,1
North,21/03/2026,Gold Coast Hwy at Tenth Avenue,Unknown,2
North,21/03/2026,Twenty Seventh Avenue,Gold Coast Hwy at Miami station,1
North,21/03/2026,Coolangatta Central,Johnston Street,8
North,21/03/2026,Twin Towns Services Club,Gold Coast Hwy at Fourth Avenue,4
North,21/03/2026,Gold Coast Hwy at Currumbin Hill,Broadbeach South station,7
North,21/03/2026,Burleigh Heads station,Gold Coast Hwy at Miami station,6
North,21/03/2026,Burleigh Heads National Park,Unknown,4
North,21/03/2026,Golden Four Dr at Short Street,Palm Beach,2
North,21/03/2026,Teemangum St at Kropp Park,Burleigh Heads station,2
North,21/03/2026,Golden Four Dr at Bilinga Beach SLSC,Burleigh Heads station,2
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Golden Four Dr at Tugun Beach shops,6
North,21/03/2026,Palm Beach,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Gold Coast Hwy at Fifteenth Avenue,Gold Coast Hwy at Fifteenth Avenue,1
North,21/03/2026,Marine Pde at Kirra Beach,Burleigh Heads station,6
North,21/03/2026,Golden Four Dr at Shell Street,Gold Coast Hwy at Thrower Drive,2
North,21/03/2026,Musgrave St at Kirra shops,Golden Four Dr at Bilinga Beach,2
North,21/03/2026,Gold Coast Hwy at Tenth Avenue,Broadbeach South station,1
North,21/03/2026,Griffith St at Coolangatta East,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Twin Towns Services Club,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,21/03/2026,Burleigh Heads station,Gold Coast Hwy at Miami North station,21
North,21/03/2026,Gold Coast Hwy at Thrower Drive,Broadbeach South station,5
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Anzac Pde CLOSED,1
North,21/03/2026,Marine Pde at Kirra Beach,Musgrave St at Coyne Street,2
North,21/03/2026,Gold Coast Hwy at Miami station,Unknown,5
North,21/03/2026,Gold Coast Hwy at Miami North station,Unknown,18
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Palm Beach,1
North,21/03/2026,Burleigh Heads National Park,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Golden Four Dr at Bilinga Beach SLSC,Golden Four Dr at Tugun Beach shops,1
North,21/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,Gold Coast Hwy at Miami station,1
North,21/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Dr at Bilinga Beach,2
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Christine Avenue station,1
North,21/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Miami North station,2
North,21/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,Gold Coast Hwy at Miami North station,3
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Mermaid Beach South station,3
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Broadbeach South station,1
North,21/03/2026,Griffith St at Coolangatta East,Musgrave St at Coyne Street,6
North,21/03/2026,Gold Coast Hwy at Twenty First Avenue,Gold Coast Hwy at Tallebudgera Tourist Park,4
North,21/03/2026,Gold Coast Hwy at Currumbin Hill,Palm Beach,3
North,21/03/2026,Twin Towns Services Club,Burleigh Heads station,4
North,21/03/2026,Golden Four Dr at Short Street,Golden Four Dr at Tugun Beach shops,2
North,21/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Miami Hotel,1
North,21/03/2026,Currumbin Wildlife Sanctuary,KP McGrath Dr near Exmouth Cr,1
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Burleigh Heads station,1
North,21/03/2026,Twin Towns Services Club,Golden Four Dr at Tugun Beach shops,2
North,21/03/2026,Twin Towns Services Club,Gold Coast Hwy at Miami North station,5
North,21/03/2026,Musgrave St at Kirra shops,Burleigh Heads station,15
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Currumbin Hill,2
North,21/03/2026,Twenty Seventh Avenue,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Eighth Avenue,1
North,21/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,Gold Coast Hwy at Mermaid Beach station,1
North,21/03/2026,Twin Towns Services Club,Golden Four Dr at George Street,6
North,21/03/2026,Musgrave St at Coyne Street,Broadbeach South station,9
North,21/03/2026,Musgrave St at Kirra shops,Golden Four Dr at George Street,4
North,21/03/2026,Twin Towns Services Club,Marine Pde at Kirra Beach Hotel,12
North,21/03/2026,Coolangatta Central,Unknown,159
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Thrower Drive,2
North,21/03/2026,Coolangatta Central,Golden Four Dr at Short Street,4
North,21/03/2026,Burleigh Heads station,Gold Coast Hwy at Mermaid Beach station,12
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Unknown,13
North,21/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,Burleigh Heads station,2
North,21/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Twenty First Avenue,3
North,21/03/2026,Griffith St at Coolangatta East,Marine Pde at Kirra Beach Hotel,2
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Eighth Avenue,3
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Tallebudgera Tourist Park,2
North,21/03/2026,Twin Towns Services Club,Coolangatta Central,4
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Miami North station,2
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Tenth Avenue,3
North,21/03/2026,Broadbeach South station,Broadbeach Sout,5
North,21/03/2026,Coolangatta Central,Marine Pde at Kirra Beach Hotel,5
North,21/03/2026,Johnston Street,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Burleigh Heads National Park,Burleigh Heads station,7
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Mermaid Beach South station,2
North,21/03/2026,Currumbin Wildlife Sanctuary,Currumbin Wildlife Sanctuary,6
North,21/03/2026,Broadbeach South station,Cottesloe Dr near Kirup St,2
North,21/03/2026,Twin Towns Services Club,Golden Four Dr at North Kirra Beach,17
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Palm Beach,Gold Coast Hwy at Eighth Avenue,1
North,21/03/2026,Palm Beach,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,21/03/2026,Broadbeach South station,Unknown,4
North,21/03/2026,Palm Beach,Twenty Seventh Avenue,1
North,21/03/2026,Palm Beach,Broadbeach South station,32
North,21/03/2026,Golden Four Dr at Shell Street,Broadbeach South station,6
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Golden Four Drive at St Monica's Catholic Church,2
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Broadbeach South station,9
North,21/03/2026,Golden Four Dr at Bilinga Beach,Gold Coast Hwy at Fourth Avenue,3
North,21/03/2026,Musgrave St at Coyne Street,Palm Beach,2
North,21/03/2026,Gold Coast Hwy at Mermaid Beach South station,Gold Coast Hwy at Mermaid Beach South station,4
North,21/03/2026,Musgrave St at Coyne Street,Golden Four Dr at Short Street,1
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Main Beach station,1
North,21/03/2026,Musgrave St at Coyne Street,Golden Four Dr at Tugun Beach shops,2
North,21/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Miami station,3
North,21/03/2026,Burleigh Heads station,Gold Coast Hwy at Hythe St CLOSED,5
North,21/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,Gold Coast Hwy at Miami North station,9
North,21/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Golden Four Dr at George Street,Unknown,1
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Fourth Avenue,2
North,21/03/2026,Marine Pde at Kirra Beach,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Palm Beach,Burleigh Heads Primary School,1
North,21/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,21/03/2026,Golden Four Dr at Short Street,Gold Coast Hwy at Thrower Drive,1
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Burleigh Heads station,3
North,21/03/2026,Palm Beach,Gold Coast Hwy at Fifteenth Avenue,3
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Currumbin Hill,3
North,21/03/2026,Golden Four Dr at Shell Street,Golden Four Dr at Tugun Beach shops,6
North,21/03/2026,Nineteenth Avenue,Unknown,20
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Palm Beach Police Station,4
North,21/03/2026,Golden Four Dr at Bilinga Beach SLSC,Teemangum St at Kropp Park,2
North,21/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Miami Hotel,4
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Unknown,1
North,21/03/2026,Golden Four Dr at George Street,Golden Four Dr at Short Street,1
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Miami station,1
North,21/03/2026,Golden Four Dr at North Kirra Beach,Golden Four Dr at Bilinga Beach,4
North,21/03/2026,Burleigh Heads National Park,Gold Coast Hwy at Anzac Pde CLOSED,3
North,21/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Mermaid Beach South station,2
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Anzac Pde CLOSED,1
North,21/03/2026,Wharf St at Tweed Heads,Golden Four Dr at Bilinga Beach,1
North,21/03/2026,Wharf St at Tweed Heads,Golden Four Dr at George Street,1
North,21/03/2026,Musgrave St at Coyne Street,Broadbeach Sout,1
North,21/03/2026,Musgrave St at Coyne Street,Burleigh Heads station,1
North,21/03/2026,Griffith St at Coolangatta East,Musgrave St at Kirra shops,3
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Twenty Seventh Avenue,3
North,21/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Dr at Tugun Beach shops,3
North,21/03/2026,Burleigh Heads station,Gold Coast Hwy at Mermaid Beach South station,19
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Unknown,7
North,21/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Anzac Pde CLOSED,2
North,21/03/2026,Musgrave St at Coyne Street,Musgrave St at Coyne Street,7
North,21/03/2026,Coolangatta Central,Broadbeach South,1
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Miami Hotel,2
North,21/03/2026,Golden Four Dr at George Street,Palm Beach,2
North,21/03/2026,Currumbin Wildlife Sanctuary,"Broadbeach South station, stop C",1
North,21/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Miami station,2
North,21/03/2026,Gold Coast Hwy at Currumbin Hill,Gold Coast Hwy at Fourth Avenue,2
North,21/03/2026,Burleigh Heads station,Broadbeach Sout,2
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Mermaid Beach South station,2
North,21/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Mermaid Beach station,3
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Miami station,1
North,21/03/2026,Burleigh Heads Primary School,Rio Vista Bvd near Southerly St,1
North,21/03/2026,Musgrave St at Coyne Street,Unknown,11
North,21/03/2026,Gold Coast Hwy at Thrower Drive,Unknown,24
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Miami North station,16
North,21/03/2026,Wharf St at Tweed Heads,Musgrave St at Coyne Street,8
North,21/03/2026,Gold Coast Hwy at Miami station,Broadbeach South station,55
North,21/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,Unknown,9
North,21/03/2026,Twin Towns Services Club,Golden Four Dr at Bilinga Beach SLSC,2
North,21/03/2026,Gold Coast Hwy at Tenth Avenue,Tweed St at George St,1
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Hythe St CLOSED,1
North,21/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Eighth Avenue,1
North,21/03/2026,Johnston Street,Teemangum St at Kropp Park,1
North,21/03/2026,Golden Four Dr at North Kirra Beach,Broadbeach South station,5
North,21/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Mermaid Beach South station,14
North,21/03/2026,Twin Towns Services Club,Musgrave St at Kirra shops,11
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Broadbeach South station,12
North,21/03/2026,Marine Pde at Kirra Beach,Golden Four Dr at Tugun Beach shops,4
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Tweed St at George St,1
North,21/03/2026,Golden Four Dr at Bilinga Beach,Broadbeach South station,2
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Currumbin Wildlife Sanctuary,2
North,21/03/2026,Wharf St at Tweed Heads,Wharf St at Tweed Heads,10
North,21/03/2026,Gold Coast Hwy at Currumbin Hill,Burleigh Heads station,3
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Fifteenth Avenue,3
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Miami Hotel,7
North,21/03/2026,Musgrave St at Kirra shops,Broadbeach South station,27
North,21/03/2026,Golden Four Dr at George Street,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Gold Coast Hwy at Hythe St CLOSED,Gold Coast Hwy at Mermaid Beach South station,1
North,21/03/2026,Palm Beach,Tweed St at George St,1
North,21/03/2026,Tweed St at George St,Burleigh Heads station,2
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,21/03/2026,Johnston Street,Golden Four Dr at Tugun Beach shops,2
North,21/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Miami station,2
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Anzac Pde CLOSED,3
North,21/03/2026,Golden Four Dr at Short Street,Burleigh Heads station,3
North,21/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Burleigh Heads station,14
North,21/03/2026,Gold Coast Hwy at Palm Beach Police Station,Unknown,4
North,21/03/2026,Palm Beach,Gold Coast Hwy at Miami North station,4
North,21/03/2026,Golden Four Dr at George Street,Golden Four Dr at George Street,2
North,21/03/2026,Gold Coast Hwy at Miami Hotel,"Broadbeach South station, stop C",1
North,21/03/2026,Gold Coast Hwy at Tenth Avenue,Gold Coast Hwy at Twenty Fifth Avenue,1
North,21/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Miami station,2
North,21/03/2026,Coolangatta Central,Burleigh Heads National Park,2
North,21/03/2026,Gold Coast Hwy at Hythe St CLOSED,Gold Coast Hwy at Mermaid Beach station,1
North,21/03/2026,Palm Beach,Nineteenth Avenue,5
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Twenty First Avenue,2
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Mermaid Beach station,2
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Nobby Beach station,1
North,21/03/2026,Currumbin Wildlife Sanctuary,Unknown,54
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Broadbeach South station,14
North,21/03/2026,Currumbin Wildlife Sanctuary,Palm Beach,2
North,21/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,"Broadbeach South station, stop C",2
North,21/03/2026,Marine Pde at Kirra Beach,Unknown,9
North,21/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Mermaid Beach station,8
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Unknown,21
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Miami station,1
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Palm Beach,3
North,21/03/2026,Golden Four Dr at Bilinga Beach SLSC,Golden Four Dr at Bilinga Beach SLSC,1
North,21/03/2026,Coolangatta Central,Palm Beach,7
North,21/03/2026,Gold Coast Hwy at Currumbin Hill,Unknown,4
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Unknown,46
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Unknown,9
North,21/03/2026,Gold Coast Hwy at Twenty First Avenue,"Broadbeach South station, stop C",1
North,21/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Miami Hotel,2
North,21/03/2026,Wharf St at Tweed Heads,Golden Four Dr at Tugun Beach shops,2
North,21/03/2026,Golden Four Dr at North Kirra Beach,Teemangum St at Kropp Park,2
North,21/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Mermaid Beach station,2
North,21/03/2026,Wharf St at Tweed Heads,Nineteenth Avenue,2
North,21/03/2026,Gold Coast Hwy at Thrower Drive,Gold Coast Hwy at Miami station,1
North,21/03/2026,Golden Four Dr at Tugun Beach shops,Teemangum St at Kropp Park,1
North,21/03/2026,Coolangatta Central,Golden Four Dr at Bilinga Beach,9
North,21/03/2026,Golden Four Drive at St Monica's Catholic Church,Gold Coast Hwy at Miami Hotel,1
North,21/03/2026,Burleigh Heads station,Broadbeach South station,297
North,21/03/2026,Griffith St at Coolangatta East,Johnston Street,14
North,21/03/2026,Palm Beach,Gold Coast Hwy at Twenty First Avenue,4
North,21/03/2026,Marine Pde at Kirra Beach,Gold Coast Hwy at Eighth Avenue,1
North,21/03/2026,Golden Four Dr at Short Street,Broadbeach South station,5
North,21/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,"Broadbeach South station, stop C",2
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Golden Four Dr at George Street,2
North,21/03/2026,Golden Four Dr at Shell Street,Gold Coast Hwy at Anzac Pde CLOSED,1
North,21/03/2026,Gold Coast Hwy at Nobby Beach station,Broadbeach South station,8
North,21/03/2026,Golden Four Dr at North Kirra Beach,Johnston Street,1
North,21/03/2026,Burleigh Heads station,Burleigh Heads station,52
North,21/03/2026,Coolangatta Central,Teemangum St at Kropp Park,8
North,21/03/2026,Tweed St at George St,Tweed St at George St,1
North,21/03/2026,Golden Four Dr at North Kirra Beach,Nineteenth Avenue,3
North,21/03/2026,Gold Coast Hwy at Tenth Avenue,Gold Coast Hwy at Tenth Avenue,2
North,21/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Burleigh Heads,1
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Anzac Pde CLOSED,1
North,21/03/2026,Gold Coast Hwy at Mermaid Beach South station,"Broadbeach South station, stop C",1
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Palm Beach Police Station,1
North,21/03/2026,Burleigh Heads Primary School,"Broadbeach South station, stop C",1
North,21/03/2026,Coolangatta Central,Gold Coast Hwy at Mermaid Beach station,2
North,21/03/2026,Gold Coast Hwy at Fifteenth Avenue,Twenty Seventh Avenue,2
North,21/03/2026,Broadbeach South station,Broadbeach South station,26
North,21/03/2026,Twin Towns Services Club,Unknown,61
North,21/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Thrower Drive,1
North,21/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Miami station,1
North,21/03/2026,Gold Coast Hwy at Mermaid Beach South station,"Broadbeach South station, stop A",1
North,21/03/2026,Johnston Street,Golden Four Dr at Bilinga Beach,2
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Mermaid Beach station,1
North,21/03/2026,Burleigh Heads station,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,1
North,21/03/2026,Wharf St at Tweed Heads,Burleigh Heads station,7
North,21/03/2026,Twenty Seventh Avenue,Burleigh Heads station,10
North,21/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Miami station,8
North,21/03/2026,Currumbin Wildlife Sanctuary,Tweed St at George St,5
North,21/03/2026,Golden Four Dr at North Kirra Beach,Golden Four Dr at Tugun Beach shops,5
North,21/03/2026,Broadbeach South station,Broadbeach South,3
North,21/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Miami North station,1
North,21/03/2026,Johnston Street,Gold Coast Hwy at Miami Hotel,1
North,21/03/2026,Griffith St at Coolangatta East,Gold Coast Hwy at Miami Hotel,1
North,21/03/2026,Gold Coast Hwy at Miami North station,Broadbeach South station,165
North,21/03/2026,Musgrave St at Coyne Street,Golden Four Dr at Bilinga Beach,2
North,21/03/2026,Gold Coast Hwy at Twenty First Avenue,Gold Coast Hwy at Miami North station,7
North,21/03/2026,Gold Coast Hwy at Miami North station,"Broadbeach South station, stop C",6
North,21/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Miami North station,7
North,21/03/2026,Johnston Street,Gold Coast Hwy at Palm Beach Police Station,2
North,21/03/2026,Musgrave St at Kirra shops,Golden Four Drive at St Monica's Catholic Church,2
North,21/03/2026,Gold Coast Hwy at Hythe St CLOSED,Broadbeach South station,3
North,21/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Anzac Pde CLOSED,4
North,21/03/2026,Gold Coast Hwy at Fifteenth Avenue,Burleigh Heads station,3
North,21/03/2026,Marine Pde at Kirra Beach Hotel,Palm Beach,2
North,21/03/2026,Palm Beach,Gold Coast Hwy at Anzac Pde CLOSED,3
North,21/03/2026,Broadbeach South station,Bond University,5
North,21/03/2026,Tweed St at George St,Broadbeach South station,7
North,21/03/2026,Burleigh Heads National Park,Broadbeach South station,28
North,21/03/2026,Gold Coast Hwy at Palm Beach Police Station,Broadbeach South station,22
North,21/03/2026,Palm Beach,Gold Coast Hwy at Twenty Fifth Avenue,3
